file_name,prn,name,award,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50
10000385_The Arts University Bournemouth_Submission.txt,10000385,The Arts University Bournemouth,Gold,0.0378566203365033,0.00757132406730066,0.00658376005852231,0.0326993416239942,0.0549743964886613,0.0163496708119971,0.0021945866861741,0,0,0.0542794440380395,0.0253840526700805,0.0667520117044623,0.0140453547915143,0.00259692757863936,0.0909290416971471,0.088222384784199,0.0123628383321141,0.00351133869787857,0,0.0166788588149232,0.00237746891002195,0,0.0896122896854426,0.026188734455011,0,0,0.00947329919531822,0.00570592538405267,0.0297000731528895,0.0136064374542794,0.0211411850768105,0.0148500365764448,0.0170446232626189,0.00793708851499634,0,0,0.00943672275054865,0,0.039319678127286,0.00592538405267008,0.0420263350402341,0,0.0132040965618142,0.0198975859546452,0.0154352596927579,0.0289319678127286,0.00186539868324799,0.0138258961228969,0.00559619604974397,0.0339063643013899
10000754_Blackpool and the Fylde College_Submission.txt,10000754,Blackpool and the Fylde College,Gold,0.0243680709534368,0.0198669623059867,0.019179600886918,0.0212860310421286,0.055920177383592,0.00297117516629712,0.0166962305986696,0.00024390243902439,0,0.0215077605321508,0.0582039911308204,0.0200221729490022,0.00130820399113082,0.0234811529933481,0.00363636363636364,0.075920177383592,0.00618625277161863,0.00851441241685144,0.0371618625277162,0.0100665188470067,0.0017960088691796,0.00228381374722838,0.0620177383592018,0.0555432372505543,0.00895787139689579,0,0.0350110864745011,0,0.0103325942350333,0.0251219512195122,0.010310421286031,0.0226385809312639,0.016940133037694,0.00609756097560976,6.65188470066519e-05,0.0492682926829268,0.0146563192904656,0.00223946784922395,0.0403991130820399,0,0.0301773835920177,0,0.0151884700665188,0.033880266075388,0.0234811529933481,0.0341241685144124,0.0057649667405765,0.0168292682926829,0,0.0503325942350333
10001503_Cleveland College of Art and Design_Submission.txt,10001503,Cleveland College of Art and Design,Gold,0.0245769764216366,0.0335090152565881,0.00357836338418863,0.0292926490984743,0.0164771151178918,0.000416088765603329,0.0115672676837725,0,0,0.0367822468793343,0.0636338418862691,0.012621359223301,0.000471567267683773,0.0344244105409154,0.0140083217753121,0.0140083217753121,0.00407766990291262,0,0.0731484049930652,0.0150624133148405,0.0153952843273232,0,0.103550624133148,0.0360887656033287,0,0,0.0545908460471567,0,0.0089875173370319,0.0169764216366158,0.0017753120665742,0.00940360610263523,0.092122052704577,0.0123994452149792,0,0.000776699029126214,0.0221359223300971,0.030374479889043,0.0104576976421637,0,0.0834674063800278,0,0.0142302357836338,0.0252427184466019,0.0155894590846047,0.00363384188626907,0,0.0211373092926491,0,0.0340083217753121
10001653_The Conservatoire for Dance and Drama_Submission.txt,10001653,The Conservatoire for Dance and Drama,Gold,0,0.0197530864197531,0,0,0,0,0,0,0,0.0259259259259259,0,0,0.354320987654321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234567901234568,0,0,0,0,0,0.158024691358025,0,0,0,0.0864197530864198,0,0.0777777777777778,0,0,0.0222222222222222,0,0,0,0.232098765432099,0,0,0,0
10001726_Coventry University_Submission.txt,10001726,Coventry University,Gold,0.0179306171843485,0.0278136345300524,0.00207745058491327,0.0209963695038322,0.040964098426785,0,0.00467930617184349,0,0.00262202501008471,0.0353368293666801,0.0226704316256555,0.0744050020169423,0,0.0198467123840258,0.000806776926179911,0.0281161758773699,0.0139975796692215,0.00320693828156515,0.00201694231544978,0.02228721258572,0.00964098426784994,0,0.0755546591367487,0.068515530455829,0.00689794271883824,0.000201694231544978,0.0173053650665591,0.00506252521177894,0.0081887858007261,0.0418112141992739,0.0241831383622428,0.0287615974183138,0,0.00475998386446148,0.0188180718031464,0,0.0027027027027027,0.0072408229124647,0.036627672448568,0,0.0428398547801533,0.018031464300121,0.0141992739007664,0.059600645421541,0.0302944735780557,0.0246066962484873,0.0291448164582493,0.0465913674868899,0.013574021782977,0.0250705929810407
10001883_De Montfort University_Submission.txt,10001883,De Montfort University,Gold,0.0337327033412082,0.0147485656429295,0.00575430307121161,0.0154910563617955,0.028147148160648,0.00111373607829902,0.00477556530543368,0,0,0.0255990550118124,0.0199291258859264,0.0394701316233547,0.0426088423894701,0.0205872426594668,0.0113229834627067,0.0509281133985825,0.0215659804252447,0.00563617954775565,0.000826864664191698,0.0278096523793453,0.0216334795815052,0,0.0704859939250759,0.0338508268646642,0.0102598717516031,0.0016537293283834,0.0286196422544718,0.0149510631117111,0.00826864664191698,0.0132467094161323,0.0191697603779953,0.0458656766790415,0.00170435369557881,0.0419507256159298,0,0.0010124873439082,0.00226122173472832,0,0.0420688491393858,0.000674991562605467,0.0327370907863652,0.00983800202497469,0.025312183597705,0.0945325683428957,0.0131117111036112,0.0268309146135673,0,0.0277590280121498,0.00126560917988525,0.0408876139048262
10002370_Exeter College_Submission.txt,10002370,Exeter College,Gold,0.00259171995960956,0.0664759340289465,0.01703130259172,0.0229215752271962,0.015684954560754,0.000875126220127903,0,0,0,0.0291820935711882,0.0256142712891282,0.0710535173342309,0,0.0249747559744194,0.00339952877818916,0.0185796028273309,0.00690003365870077,0.00131268933019185,0.0939750925614271,0.00790979468192528,0,0,0.0692359474924268,0.0164927633793336,0.0698754628071356,0,0.121373274991585,0.00376977448670481,0.00966004712218108,0.0113093234601144,0,0.00727027936721643,0.0261191518007405,0.0147088522383036,3.36587007741501e-05,0.00208683944799731,0,0,0.00333221137664086,0,0.0803096600471222,0,0.025109390777516,0.0436553349040727,0.0138337260181757,0.0327499158532481,0,0.0268933019185459,0.00360148098283406,0.010097610232245
10002919_Hartpury College_Submission.txt,10002919,Hartpury College,Gold,0.0117028731604765,0.0515066573230554,0.0245503387059098,0.0382854473253913,0.0176827843961691,0.000747488904461574,0.00766176127073114,0,0.00207895351553375,0.0228451296426069,0.0386825508058865,0.0238262088297127,0,0.0225181032469049,0.00341041812660593,0.0172389628591451,0.00369072646577902,0.0112123335669236,0.0185937864984817,0.0143658023826209,0.103013314646111,0,0.0882737678112591,0.0450362064938099,0.000490539593552908,0.000350385423966363,0.0280541929455735,0.000817565989254847,0.00530249941602429,0.017565989254847,7.00770847932726e-05,0.0306236860546601,0.0400840925017519,0.0105115627189909,0.000256949310908666,0,0.0172389628591451,0.00534921747255314,0.025437981779958,0.00663396402709647,0.0657790235926185,0.00460172856809157,0.014646110721794,0.0702873160476524,0.00548937164213969,0.0245503387059098,0,0.0116561551039477,0,0.0472786732071946
10003193_Hugh Baird College_Submission.txt,10003193,Hugh Baird College,Gold,0.0414492753623188,0.0411594202898551,0.00276328502415459,0.0389951690821256,0.00316908212560386,0.0133333333333333,0.00753623188405797,0,0,0.0394396135265701,0.0751884057971015,0.0465507246376812,0.00257004830917874,0.0430338164251208,0.0394975845410628,0.0163478260869565,0.00600966183574879,0.000811594202898551,0.0377777777777778,0.00892753623188406,0.0189178743961353,0,0.0425893719806763,0.0295265700483092,0,0,0.0463961352657005,0.00139130434782609,0.024463768115942,0.0112270531400966,0.00146859903381643,0.022975845410628,0.00427053140096618,0.098048309178744,0.0026280193236715,0.00332367149758454,0.00129468599033816,0,0.0315942028985507,0,0.0479033816425121,0,0.0199227053140097,0.0496811594202899,0.00459903381642512,0.0174299516908213,0,0.0208502415458937,0,0.0349371980676329
10003270_Imperial College London_Submission.txt,10003270,Imperial College London,Gold,0.0245756718528996,0.00970650636492221,0.00307637906647808,0.01495756718529,0.0341937765205092,0,1.76803394625177e-05,0,0.00325318246110325,0.0493458274398869,0.0240983026874116,0.0101131541725601,0.000406647807637907,0.0271039603960396,0,0.0436881188118812,0.0155233380480905,0.0186527581329562,0.0269094766619519,0.0265912305516266,0.0365629420084866,0,0.0722065063649222,0.0266973125884017,0.00134370579915134,0,0.017043847241867,0.00553394625176803,0.00525106082036775,0.0182637906647808,0.0281824611032532,0.00800919377652051,0.000654172560113154,0.0278995756718529,0,0.0487800565770863,0.0038012729844413,0,0.0381541725601132,0.012977369165488,0.036032531824611,0.00956506364922206,0.0551803394625177,0.0597241867043847,0.0160537482319661,0.0443422913719943,0.00274045261669024,0.0574964639321075,0.0060997171145686,0.0291902404526167
