file_name,prn,name,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50
10000055_Abingdon and Witney College_Submission.txt,10000055,Abingdon and Witney College,0.00172206647977573,0.0119743692430917,0.028694433319984,0.0817981577893472,0.015178213856628,0.00152182619142972,0.0136964357228674,0.0128954745694834,0.00328394072887465,0.00350420504605527,0.0931718061674009,0.0163596315578694,0.00200240288346015,0,0.00378454144973969,0.0104325190228274,0,0.0419703644373248,0.002663195835002,0.00214257108530236,0,0.00861033239887865,0,0.045174209050861,0.0189627553063676,0.0943932719263116,0.128674409291149,0,0.0376852222667201,0.00750901081297557,0.0534040849018823,0.00118141770124149,0,0.0884261113336003,0,0.00879054865839007,2.00240288346015e-05,0.00140168201842211,0,0.0227873448137765,0.0231878253904686,0.058189827793352,0.00250300360432519,0.00228273928714457,0.00857028434120945,0.0391670004004806,0.000240288346015218,0.000120144173007609,0,0.00192230676812175
10000093_Accrington and Rossendale College_Submission.txt,10000093,Accrington and Rossendale College,0.000183402109124255,0.0187987161852361,0.0101788170563961,0.0276478679504814,0.00508940852819807,0.0148097203117836,0.0203576341127923,0.0342961944062357,0,0.00660247592847318,0.0205868867491976,0,0.0700137551581843,0,0,0.0461714809720312,0.0140302613480055,0.0110041265474553,0,0.0216872994039431,0.00247592847317744,0,0,0.0106373223292068,0,0.0521320495185695,0.180651077487391,0.0010087116001834,0.015130674002751,0,0.0325997248968363,0.00614397065566254,0.0010087116001834,0.112654745529574,0,0.0342503438789546,0,0.028748280605227,0,0.0156808803301238,0.038835396607061,0.110729023383769,0.0154516276937185,0,0.0106373223292068,0.00852819807427785,0.00123796423658872,0,0,0
10000163_Anglo-European College of Chiropractic_Submission.txt,10000163,Anglo-European College of Chiropractic,0,0.0200057323015191,0,0.0255660647750072,0.00412725709372313,0,0.0167383204356549,0.00146173688736028,0.0285468615649183,0.0170822585267985,0.0456004585841215,0.0522212668386357,0.0232158211521926,0,0.00326741186586414,0.00461450272284322,0.00143307537976498,0.00799656061908856,0.0114932645457151,0.00398394955574663,0,0.0102321582115219,0,0,0.00263685869876755,0.0600171969045572,0.0745772427629693,0,0.012725709372313,0,0.0441960447119518,0.00289481226712525,0,0.0566351390083118,0,0.011006018916595,0,0.145772427629693,0,0.0218400687876182,0.0768988248781886,0.0854399541415878,0.0269418171395815,0.00636285468615649,0.0465176268271711,0.0148753224419604,0,0.0102321582115219,0.0139008311837203,0.00894239036973345
10000275_Amersham & Wycombe College_Submission.txt,10000275,Amersham & Wycombe College,0,0.023620025673941,0.02599486521181,0.0323491655969191,0,0,0.00102695763799743,0.0301026957637997,0,0.00667522464698331,0.159627727856226,0.00924261874197689,0.0467265725288832,0.00635430038510912,0,0.0844672657252889,0.0034017971758665,0.0575738125802311,0,0.00147625160462131,0,0,0,0.0363286264441592,0,0.0226572528883184,0.141463414634146,0,0.05,0,0.0128369704749679,0.0173299101412067,0,0.0218870346598203,0,0,0,0.0217586649550706,0,0,0.0229139922978177,0.0853658536585366,0,0.0271501925545571,0.0101412066752246,0.0296534017971759,0,0.00641848523748395,0.00545571245186136,0
10000291_Anglia Ruskin University_Submission.txt,10000291,Anglia Ruskin University,0.00120212948651898,0.0638674222909153,0.0298299845440495,0.0147346728490469,0.0111798042246265,0.00139103554868624,0.0725914477073673,0.00328009617035892,0.00151124849733814,0.0639704619611884,0.0753906920831187,0.00340030911901082,0.000326292289198008,0,0.000635411300017173,0.00300532371629744,0,0.0496479477932337,0.000618238021638331,0.0101322342435171,0.000875837197320968,0,0,0.000103039670273055,0,0.0385024901253649,0.137334707195604,0,0.0155589902112313,0,0.0707023870856947,0.00329726944873776,0.0172763180491156,0.0609479649665121,0.00132234243517087,0.0154216039842006,0.00607934054611025,0.0179632491842693,0,0.0221191825519492,0.0315473123819337,0.00506611712175854,0.00968572900566718,0.0409582689335394,0.0380044650523785,0.0153185643139275,0.0163146144599004,0.00175167439464194,0.0170530654301906,0.0100807144083806
10000385_The Arts University Bournemouth_Submission.txt,10000385,The Arts University Bournemouth,0.00735714285714286,0.0461785714285714,0.02525,0.0307857142857143,0.00767857142857143,0,0.0186071428571429,0.0469642857142857,0.00675,0.0209642857142857,0.149142857142857,0.00835714285714286,0,0.0478214285714286,0,0.0217142857142857,0,0.0859285714285714,0,0,0,0.023,0.000714285714285714,0,0,0.00710714285714286,0.0848571428571429,0,0.00328571428571429,0.00467857142857143,0.12625,0.00292857142857143,0,0.0463214285714286,0,0.00303571428571429,0.000928571428571429,0.00625,0.00175,0.00553571428571429,0.0393928571428571,0.00207142857142857,0.00728571428571429,0,0.0949642857142857,0.01225,0,0.00110714285714286,0.00278571428571429,0
10000415_Askham Bryan College_Submission.txt,10000415,Askham Bryan College,0.00331179321486268,0.0675282714054927,0.00856219709208401,0.004281098546042,0.0286752827140549,0,0.0216478190630048,0.0247172859450727,0,0.0150242326332795,0.0705169628432956,0.00630048465266559,0.0416801292407108,0,0.0131663974151858,0.004281098546042,0,0.0175282714054927,0.0290791599353796,0,0,0,0,0,0,8.07754442649435e-05,0.139256865912763,0,0.0024232633279483,0.00767366720516963,0.0633279483037157,0.00024232633279483,0,0.058642972536349,0.0546849757673667,0,0,0.0419224555735057,0,0.017205169628433,0.0309369951534733,0.168336025848142,0,0,0,0.0334410339256866,0,8.07754442649435e-05,0,0.0254442649434572
10000473_Aylesbury College_Submission.txt,10000473,Aylesbury College,0,0.0405216037368626,7.78513040093422e-05,0.0119112495134294,0,0.00681198910081744,0.0421954067730634,0.0460490463215259,0.00860256909303231,0.0212923316465551,0.0569871545348385,0,0.0637991436356559,0,0.000622810432074737,0.026625145971195,0,0.0210198520825224,0,0.0838847800700662,0,0.000389256520046711,0,0.00568314519268198,0,0.023550019462826,0.178980147917478,0,0,0.0114052160373686,0.017633320358116,0.0184507590502141,0,0.0278318411833398,0,0,0,0.032775398987933,0,0.00198520825223822,0.032308291163877,0.120435967302452,0.002958349552355,0.0318801089918256,0.01183339820942,0.0195406773063449,0.00817438692098093,0,0,0.023783573374854
10000571_Bath Spa University_Submission.txt,10000571,Bath Spa University,0.00266903914590747,0.0369852567361464,0.0240213523131673,0.0192679206914082,0.0083375699034062,0,0.0264361972547026,0.00920183019827148,0.00149974580579563,0.0432130147432639,0.0475597356380275,0.024580579562786,0.00218607015760041,0.0014489069649212,0,0.00371123538383325,0,0.0281901372648704,0,0.00643111337061515,0.0707676664972039,0,0.000330452465683782,0,0.00172852058973055,0.0732079308591764,0.0928825622775801,0,0.0332231825114387,0,0.0631418403660397,0.0288256227758007,0,0.0553126588713777,0,0.0248856126080325,0.00368581596339603,0.00376207422470768,0.000559227249618709,0.0755465175394001,0.0319013726487036,0.00538891713268937,0.0252160650737163,0.011997966446365,0.0987036095577021,0.00861718352821556,0,0.00353329944077275,0,0.00104219623792578
10000712_University College Birmingham_Submission.txt,10000712,University College Birmingham,0.000774336283185841,0.0301106194690265,0.00254424778761062,0.0430088495575221,0,0.015287610619469,0.0259513274336283,0.0102654867256637,0.00444690265486726,0.0158628318584071,0.0311061946902655,0.0882300884955752,0.0189159292035398,0,0.00188053097345133,0.0216371681415929,0,0.0229203539823009,0,0.0123893805309735,0,0,0,0.00258849557522124,0.00190265486725664,0.0634955752212389,0.140840707964602,0,0.00920353982300885,0.00349557522123894,0.041216814159292,0.0181194690265487,0.0299557522123894,0.0429646017699115,0.0013716814159292,0.0590929203539823,0.0011283185840708,0.042146017699115,0,0.0429646017699115,0.0309955752212389,0.029712389380531,0.0155088495575221,0.011283185840708,0.0409734513274336,0.0158185840707965,0.00351769911504425,0,0,0.0063716814159292
